condition,position,frame,flow_u,flow_v,magnitude
RIF10,202,88,1.231746,1.9696804,0.6150519
RIF10,202,90,-0.04496468,0.07078892,0.2056326
RIF10,202,92,-0.7611121,-0.0086485315,0.3209187
RIF10,202,94,0.62688226,-0.7832415,0.41558102
RIF10,202,96,0.11740749,0.18057904,0.2513546
RIF10,202,98,-0.49544293,-0.17719921,0.27325246
RIF10,202,100,-0.0929809,-0.033212923,0.169449
RIF10,202,102,-0.25132272,-0.17790484,0.1965203
RIF10,202,104,-1.1335841,0.49282143,0.93525666
RIF10,202,106,-0.011349685,-0.22368856,0.1940112
RIF10,202,108,0.5075114,-0.70974994,0.34122014
RIF10,203,0,-1.5531943,-2.4067626,1.2521758
RIF10,203,2,0.97346586,0.85587204,0.860688
RIF10,203,4,-0.7104649,0.25643334,1.2742393
RIF10,203,6,1.3108975,-1.9477793,1.2714626
RIF10,203,8,-2.0150447,-1.4706562,0.9406152
RIF10,203,10,0.75931174,0.20177236,1.2448244
RIF10,203,12,-1.0509657,1.1716765,0.7757564
RIF10,203,14,-1.7423422,-0.6349734,2.1780298
RIF10,203,16,-0.59711504,-0.42142934,0.7454367
RIF10,203,18,-1.7696592,-1.1853657,1.294698
RIF10,203,20,-0.29935485,-2.7635953,1.9877309
RIF10,203,22,-0.564777,0.08201342,0.6597999
RIF10,203,24,-0.843529,0.1879077,0.7477408
RIF10,203,26,4.7764235,2.778009,2.3248868
RIF10,203,28,1.9154459,-2.0318582,2.0993757
RIF10,203,30,0.7193846,-2.380503,5.76603
RIF10,203,32,-0.5975414,-0.8877053,2.0631468
RIF10,203,34,0.79342294,0.5738119,0.73062766
RIF10,203,36,2.0432487,-3.4420037,1.5289141
RIF10,203,38,-1.107285,0.79645175,1.0251808
RIF10,203,40,-0.58610487,-0.18708956,0.6067882
RIF10,203,42,-0.72956544,-0.40440243,0.5666798
RIF10,203,44,-0.54955995,-0.15078123,0.4648363
RIF10,203,46,-0.40165037,-0.019953525,0.38968596
RIF10,203,48,-0.15572864,-0.7004857,0.56169355
RIF10,203,50,-0.4853707,-0.10246464,0.47312185
RIF10,203,52,-0.32473543,-0.18881282,0.42035112
RIF10,203,54,-0.3064033,-0.2705252,0.4277518
RIF10,203,56,3.8475854,-1.4798431,1.1215538
RIF10,203,58,-0.0880991,-0.37058833,0.44426474
RIF10,203,60,-0.78245586,-0.55374175,0.54560107
RIF10,203,62,-0.35629752,-0.31709838,0.5265964
RIF10,203,64,-0.18950729,-0.17595397,0.43352282
RIF10,203,66,-0.012831792,0.054243192,0.56523865
RIF10,203,68,0.9231591,-0.7128028,0.52410924
RIF10,203,70,-0.3667363,-0.2828368,0.406898
RIF10,203,72,0.5693936,-0.82265073,0.5455411
RIF10,203,74,-0.84330034,1.3984799,1.1684273
RIF10,203,76,0.30752403,-0.37906113,0.6329464
