condition,position,frame,flow_u,flow_v,magnitude
REF,102,102,4.1670423,3.0425994,1.4152944
REF,102,104,-0.7947728,-0.32047904,0.7428561
REF,102,106,-0.5938687,0.28551462,0.49553022
REF,102,108,-0.21557797,-0.63292724,0.76786065
REF,103,0,-0.022899335,0.8757407,0.18962811
REF,103,2,-0.03869834,0.37266168,0.112662144
REF,103,4,0.05543711,0.107987426,0.09929797
REF,103,6,-0.27802762,0.0008976348,0.09811317
REF,103,8,-1.195082,-1.1158983,0.12250689
REF,103,10,-0.30787718,-0.025887564,0.08644616
REF,103,12,1.1228087,1.2642415,0.37315285
REF,103,14,0.3293751,0.6663717,0.114670254
REF,103,16,0.3750719,3.0573056,0.20806329
REF,103,18,-0.142148,0.18843083,0.13034035
REF,103,20,-0.24549234,-0.03324713,0.08777356
REF,103,22,-0.42990455,-1.2488852,0.19320382
REF,103,24,-0.16211407,0.41821694,0.10872044
REF,103,26,-0.16781601,0.5062491,0.11588608
REF,103,28,0.15090445,0.6200298,0.1363584
REF,103,30,-0.10216997,0.31558505,0.119397394
REF,103,32,-0.11379351,0.4475794,0.10315502
REF,103,34,-0.1896775,0.24799047,0.08932173
REF,103,36,0.1227002,0.04432828,0.09961989
REF,103,38,0.056281812,0.16338338,0.11269562
REF,103,40,-0.04302888,0.14271289,0.120582454
REF,103,42,-0.19710766,0.21931818,0.14033991
REF,103,44,-0.121360585,-0.11289688,0.12894645
REF,103,46,-0.47168708,-0.36647993,0.5266433
REF,103,48,-0.41237897,0.114618786,0.12776072
REF,103,50,-0.30019286,0.028834347,0.12140356
REF,103,52,-0.7583212,0.42548507,0.17469141
REF,103,54,-0.9056586,0.14127773,0.15889446
REF,103,56,0.025549972,-4.535402,0.40477052
REF,103,58,-2.863277,1.3584579,0.29972628
REF,103,60,-0.14600906,0.06666669,0.17657477
REF,103,62,-0.2395105,0.17736426,0.14526871
REF,103,64,-0.26016432,-0.5073394,0.17242059
REF,103,66,-0.07305716,-0.029013287,0.11599466
REF,103,68,-0.27166477,-0.07182548,0.120880716
REF,103,70,-0.23826736,0.046924148,0.13358377
REF,103,72,-0.29613,-3.0924218,0.7835196
REF,103,74,-0.44808996,-0.86329263,0.21550116
REF,103,76,-0.2522477,0.19013631,0.18984261
REF,103,78,-0.62203604,-1.6541743,0.31925127
REF,103,80,-0.8582815,0.55319446,0.28737986
REF,103,82,1.3035697,1.7689764,0.4577882
REF,103,84,-0.714462,-0.24570535,0.22766449
REF,103,86,-0.1953257,-0.06981346,0.13631015
REF,103,88,4.084377,3.328488,1.0167514
REF,103,90,-1.3921695,1.7077292,0.4597311
REF,103,92,-0.85863847,0.5033923,0.54463744
REF,103,94,-0.5356565,0.5203015,0.2406655
REF,103,96,-4.1736026,-0.24782075,0.72712773
REF,103,98,-2.6569848,-0.35321704,0.36170572
REF,103,100,-12.085427,4.275508,0.97669923
REF,103,102,-1.9829122,-0.8914182,0.3614528
REF,103,104,-2.0073566,-1.3280013,0.30735695
REF,103,106,-2.1989775,-1.7029288,0.3855832
REF,103,108,5.847895,-0.56477296,0.5950179
REF,104,0,-2.1657681,-3.0817657,1.1063513
REF,104,2,-0.14509298,-0.80125856,0.5405289
REF,104,4,-0.1571291,-0.6571221,0.39787588
REF,104,6,0.8537851,0.68588394,0.81948084
REF,104,8,-0.14282034,-0.017261408,0.23999098
REF,104,10,-0.5561109,-0.61368465,0.31381762
REF,104,12,-0.012086778,0.4433428,0.34082994
REF,104,14,-1.142847,0.49631518,1.0312829
REF,104,16,3.3038933,8.449758,2.0909374
REF,104,18,0.8175662,0.4381777,0.45845142
REF,104,20,0.7458934,-0.35305476,0.41485706
REF,104,22,1.6319438,-1.3757124,0.48315728
REF,104,24,-0.36844903,-0.07285762,0.29087257
REF,104,26,-0.25526762,-0.021682551,0.28906453
REF,104,28,-0.2563778,-0.016906086,0.23368819
REF,104,30,2.1068864,-1.4327021,1.0379375
REF,104,32,0.03488145,0.5377575,0.46123037
REF,104,34,0.12781455,0.007997105,0.8365019
REF,104,36,2.189838,0.23014393,0.9120491
REF,104,38,-0.21000534,-0.1097095,0.38934484
REF,104,40,-0.35734698,-0.118432686,0.4173133
REF,104,42,2.0969844,1.1499292,1.1182493
REF,104,44,-0.008276866,1.1965598,0.5226666
REF,104,46,-0.12623186,-0.38779357,0.41710335
REF,104,48,-0.6175554,0.18119934,0.48564038
REF,104,50,-0.5915465,-0.31270683,0.4500658
REF,104,52,-0.16358742,-0.39542058,1.1102079
REF,104,54,0.53859943,-1.1751428,1.0030367
REF,104,56,2.046794,-1.1199485,1.2378469
REF,104,58,-2.5734744,0.25900316,1.0115242
REF,104,60,-0.39998662,-0.37211967,0.48973694
REF,104,62,0.08629313,-0.10819544,0.7229098
REF,104,64,-1.2838284,-7.69413,4.688053
REF,104,66,3.2383049,-10.160693,4.64674
REF,104,68,-0.14667632,-0.44974586,1.140699
REF,104,70,-2.4701843,-0.55862635,1.6210091
REF,104,72,-0.25383404,-1.8435156,1.2339699
REF,104,74,-0.91418976,1.2815634,1.1884484
REF,104,76,0.19557406,-0.79166394,0.86292756
REF,104,78,-0.92124724,-0.50979185,1.8143091
REF,104,80,0.13804391,-0.8338111,1.4647332
REF,104,82,-0.64173317,0.10122977,0.73303473
REF,104,84,-1.4700755,0.8238754,0.9595008
REF,104,86,-0.3145021,1.4798297,1.6274537
REF,104,88,-0.41471398,-1.3204215,1.1305584
REF,104,90,2.2374265,1.058904,1.9734433
REF,104,92,-0.68830323,1.4543892,1.0896442
REF,104,94,0.21400103,-0.40862337,0.745954
REF,104,96,-0.15699635,0.049178008,0.95886713
REF,104,98,-0.5660371,-0.5299004,0.63210934
REF,104,100,-1.177319,0.2697999,1.0397786
REF,104,102,-1.1827325,-0.18902294,0.91166604
REF,104,104,-0.6939003,1.01874,1.0123624
REF,104,106,-0.37087572,0.36646456,0.8952673
REF,104,108,0.1985396,-0.51923525,0.9378966
REF,105,0,-0.181904,0.03921529,0.11891912
REF,105,2,-0.2725278,-0.030299846,0.14717814
REF,105,4,-1.7647761,2.5015142,0.6469864
REF,105,6,1.6236373,0.44672593,0.60791075
REF,105,8,0.21534918,-2.8079286,0.5522009
REF,105,10,-0.57274365,0.81887794,0.63800067
REF,105,12,0.057865378,-0.032097686,0.15731676
REF,105,14,0.023586381,4.5882416,0.5017664
REF,105,16,-3.12488,-2.5953214,0.41978288
REF,105,18,-1.0331395,2.1097689,0.5996581
REF,105,20,-0.35158858,-0.21263885,0.164629
REF,105,22,-0.11858871,-0.2347921,0.27040157
REF,105,24,0.07708668,0.1953135,0.26447293
REF,105,26,-0.020848803,-0.30643508,0.30521348
REF,105,28,0.7353649,2.1185434,0.69083285
REF,105,30,1.4006859,5.1292973,0.89362043
REF,105,32,0.059896186,0.9036447,0.3088741
REF,105,34,-0.3868533,1.6394081,0.32979998
REF,105,36,-2.8609717,5.1058846,0.6835657
REF,105,38,-0.6884973,-0.42545307,0.56216973
REF,105,40,0.16461095,0.07680646,0.25840038
REF,105,42,-0.124158025,3.4791205,0.37971267
REF,105,44,-0.7392516,0.6248481,0.28027233
REF,105,46,-0.9962792,-1.4261396,0.38070226
REF,105,48,-0.49968195,0.43289274,0.32052556
REF,105,50,-0.14056523,6.081561,0.764773
REF,105,52,2.1976058,0.9545475,0.432574
REF,105,54,0.15665248,-1.2134728,0.29634416
REF,105,56,-0.025861574,-0.4383227,0.3631483
REF,105,58,0.9353124,-1.5046651,0.5100809
REF,105,60,-1.2707195,0.7650656,0.46655178
REF,105,62,-0.5346504,-0.29015064,0.34832028
REF,105,64,-1.8282288,1.1788944,0.7912214
REF,105,66,-4.0868816,3.581119,1.3332386
REF,105,68,-1.8689159,0.7381103,1.019186
REF,105,70,0.8096223,2.2515538,0.5190059
REF,105,72,-4.9841185,1.4077761,1.2296555
REF,105,74,0.794543,0.5791676,0.54269195
REF,105,76,3.7997599,-7.08104,1.1746113
REF,105,78,-0.76735896,0.42219493,0.39897573
REF,105,80,1.3216517,1.0333489,0.75998336
REF,105,82,-0.3578624,1.3266344,1.093348
REF,105,84,-0.49802142,-0.03500735,0.35968253
REF,105,86,-0.73287916,8.744504,2.104159
REF,105,88,2.32966,-0.39970025,0.8984752
REF,105,90,-0.18976554,1.0889853,0.8112697
REF,105,92,-0.58101356,-1.6774155,0.7503453
REF,105,94,1.1110283,2.2003794,1.433549
REF,105,96,-0.054991297,-0.8604772,0.3868222
REF,105,98,3.5992308,5.1166487,1.3569713
REF,105,100,0.18725011,0.031134669,0.37762168
REF,105,102,-0.58386654,-0.6798173,0.41674086
REF,105,104,-2.0331619,2.4657896,1.2010063
REF,105,106,2.991971,-2.6804338,1.0052143
REF,105,108,1.4116111,-0.46702206,0.7698952
REF,106,0,-0.09417841,0.6454998,0.2752358
REF,106,2,0.50984627,-0.8147683,0.4037965
REF,106,4,1.6267495,-0.79592985,0.38700512
REF,106,6,-0.690956,2.5096009,0.7012438
REF,106,8,-0.63989484,-0.22901161,0.40579635
REF,106,10,-0.57110226,-0.53549486,0.4157934
REF,106,12,-0.2367449,0.023004305,0.22874969
REF,106,14,-0.4253213,0.20549905,0.2832953
REF,106,16,0.6046785,2.3959477,1.6066765
REF,106,18,-1.1830974,2.8936145,1.406567
REF,106,20,-0.93216157,0.11234264,0.85081375
REF,106,22,-1.0234278,-0.24504766,1.1728332
REF,106,24,-0.49613318,0.6794189,0.44531175
REF,106,26,-0.31938928,-0.21182273,0.40543577
REF,106,28,-0.30145013,-0.57841486,0.46933585
REF,106,30,1.1865742,-0.25516963,1.0447743
REF,106,32,-0.46355245,0.3699101,0.41289648
REF,106,34,2.8574507,2.9720857,1.5421677
REF,106,36,0.069445014,1.3646111,2.2343178
REF,106,38,0.04356947,0.14972796,0.7341981
REF,106,40,3.014878,-6.0487514,1.5633379
REF,106,42,-0.19731805,0.52415913,0.531708
REF,106,44,0.14834954,3.0698633,1.1039002
REF,106,46,-0.319156,-0.08896789,0.3931054
REF,106,48,-0.2389023,1.1956576,0.5775944
REF,106,50,-0.5983941,0.17305478,0.455007
REF,106,52,-0.5174679,0.29532877,0.49983323
REF,106,54,-0.33902234,-0.12186949,0.43696496
REF,106,56,-0.5092824,1.6167927,0.942058
REF,106,58,-0.7658384,0.6228959,0.9179052
REF,106,60,-3.343394,-1.3148028,2.459317
REF,106,62,-0.7061681,2.4394996,1.0584866
REF,106,64,-0.4490895,0.21700987,0.64521015
REF,106,66,-0.09707007,-0.3115018,0.8470986
REF,106,68,-0.18213628,-0.21356437,1.3498546
REF,106,70,0.6011096,-4.2570972,1.5089406
REF,106,72,0.8129648,-0.939495,1.3269053
REF,106,74,-0.3508628,0.35159957,0.7687983
REF,106,76,1.538367,-0.8530264,1.5836513
REF,106,78,-0.94834757,0.30678985,0.832483
REF,106,80,-0.80724555,0.12573697,0.75967354
REF,106,82,-0.60959214,-0.26250187,0.6699185
REF,106,84,2.9379005,-6.4171715,4.1405663
REF,106,86,0.05527887,-0.6080119,1.0049945
REF,106,88,0.026666747,4.0519676,2.0648487
REF,106,90,-0.68567157,0.14484134,0.6533127
REF,106,92,-0.55951613,-0.32430783,0.6457508
REF,106,94,1.1795008,2.7685664,1.304343
REF,106,96,1.932308,0.5745483,1.6823406
REF,106,98,-0.28112218,0.0864115,0.8779392
REF,106,100,-1.186249,-4.035613,2.1736648
REF,106,102,0.11710843,-0.43093458,1.1911248
REF,106,104,0.331549,-2.5846534,1.0726799
REF,106,106,-0.33121806,0.16406153,0.7083319
REF,106,108,1.8537627,-2.2319388,1.8487041
REF,107,0,1.4957985,-0.42171413,0.5836954
REF,107,2,-0.29664466,-2.3228204,0.67425084
REF,107,4,-0.014456552,0.096270315,0.27758387
REF,107,6,0.08521562,0.10504335,0.21180898
REF,107,8,-1.0686332,-2.4381802,0.89028174
REF,107,10,-0.061788987,1.2110233,0.32780266
REF,107,12,-0.41457772,0.023779485,0.37665612
REF,107,14,-0.9671107,-0.4891021,0.29865828
REF,107,16,0.1282708,-0.3611128,0.30896625
REF,107,18,-0.94679564,1.4475237,0.39210835
REF,107,20,0.21344022,-1.0106491,0.40311962
REF,107,22,-0.061931767,1.5803128,0.6443843
REF,107,24,-3.304287,2.4574687,0.6759488
REF,107,26,0.13928036,-1.1250156,0.3205874
REF,107,28,0.067780204,-0.7617645,0.52317834
REF,107,30,3.4054606,-10.845877,1.9842954
REF,107,32,-1.6764929,0.6688882,0.68874985
REF,107,34,-0.42803645,0.59261084,0.41878211
REF,107,36,-0.6112561,0.29802498,0.47872335
REF,107,38,-0.90243644,0.9373332,0.5324608
REF,107,40,-0.77713996,0.10615148,0.52488667
REF,107,42,0.8570231,-1.024985,0.74246335
REF,107,44,-3.8424625,4.6039486,2.5856192
REF,107,46,1.257541,0.6280403,1.7957473
REF,107,48,-0.4782551,1.1590263,0.5722317
REF,107,50,-0.41082186,1.030062,1.0550658
REF,107,52,0.13757314,1.450798,1.2313697
REF,107,54,5.269003,4.672691,2.496932
REF,107,56,0.24530075,3.8114862,1.2099541
REF,107,58,-0.63309085,0.31150925,0.4543831
REF,107,60,-0.5648189,-0.42635173,0.46596476
